raw_character_text,spoken_words
Miss Hoover,"No, actually, it was a little of both. Sometimes when a disease is in all the magazines and all the news shows, it's only natural that you think you have it."
Lisa Simpson,Where's Mr. Bergstrom?
Miss Hoover,I don't know. Although I'd sure like to talk to him. He didn't touch my lesson plan. What did he teach you?
Lisa Simpson,That life is worth living.
Edna Krabappel-Flanders,"The polls will be open from now until the end of recess. Now, just in case any of you have decided to put any thought into this, we'll have our final statements. Martin?"
Martin Prince,I don't think there's anything left to say.
Edna Krabappel-Flanders,Bart?
Bart Simpson,Victory party under the slide!
,
Lisa Simpson,Mr. Bergstrom! Mr. Bergstrom!
Landlady,"Hey, hey, he Moved out this morning. He must have a new job -- he took his Copernicus costume."
Lisa Simpson,Do you know where I could find him?
Landlady,I think he's taking the next train to Capital City.
Lisa Simpson,"The train, how like him... traditional, yet environmentally sound."
Landlady,"Yes, and it's been the backbone of our country since Leland Stanford drove that golden spike at Promontory point."
Lisa Simpson,"I see he touched you, too."
,
Bart Simpson,"Hey, thanks for your vote, man."
Nelson Muntz,I didn't vote. Voting's for geeks.
Bart Simpson,"Well, you got that right. Thanks for your vote, girls."
Terri/sherri,We forgot.
Bart Simpson,"Well, don't sweat it. Just so long as a couple of people did... right, Milhouse?"
Milhouse Van Houten,Uh oh.
Bart Simpson,Lewis?
Bart Simpson,Somebody must have voted.
Milhouse Van Houten,"What about you, Bart? Didn't you vote?"
Bart Simpson,Uh oh.
Bart Simpson,
Wendell Borton,Yayyyyyyyyyyyyyy!
,
Bart Simpson,I demand a recount.
Edna Krabappel-Flanders,"One for Martin, two for Martin. Would you like another recount?"
Bart Simpson,No.
Edna Krabappel-Flanders,"Well, I just want to make sure. One for Martin. Two for Martin."
Kid Reporter,"This way, Mister President!"
,
Conductor,"Now boarding on track 5, The afternoon delight coming to Shelbyville, Parkville, andâ€¦.."
Lisa Simpson,"Mr. Bergstrom! Hey, Mr. Bergstrom!"
BERGSTROM,"Hey, Lisa."
Lisa Simpson,"Hey, Lisa, indeed."
BERGSTROM,What? What is it?
Lisa Simpson,"Oh, I mean, were you just going to leave, just like that?"
BERGSTROM,"Ah, I'm sorry, Lisa. You know, it's the life of the substitute teacher: he's a fraud. Today he might be wearing gym shorts, tomorrow he's speaking French, or, or, or pretending to know how to run a band saw, or God knows what."
Lisa Simpson,You can't go! You're the best teacher I'll ever have.
BERGSTROM,"Ah, that's not true. Other teachers will come along who..."
Lisa Simpson,"Oh, please."
BERGSTROM,"No, I can't lie to you, I am the best. But, you know, they need me over in the projects of Capital City."
Lisa Simpson,But I need you too.
BERGSTROM,That's the problem with being middle class. Anybody who really cares will abandon you for those who need it more.
Lisa Simpson,"I, I understand. Mr. Bergstrom, I'm going to miss you."
BERGSTROM,I'll tell you what...
BERGSTROM,"Whenever you feel like you're alone and there's nobody you can rely on, this is all you need to know."
Lisa Simpson,"Thank you, Mr. Bergstrom."
Conductor,All aboard!
Lisa Simpson,"So, I guess this is it? It you don't mind I'll just run alongside the train as it speeds you from my life?"
BERGSTROM,"Goodbye, Lisa honey. It'll be okay. Just read the note."
,
Homer Simpson,Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?
Homer Simpson,"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?"
Lisa Simpson,Nothing.
Marge Simpson,"Lisa, tell your father."
Lisa Simpson,Mr. Bergstrom left today.
Homer Simpson,Oh.
Lisa Simpson,He's gone. Forever.
Homer Simpson,And?
Lisa Simpson,I didn't think you'd understand.
Homer Simpson,"Hey, just because I don't care doesn't mean I don't understand."
Lisa Simpson,"I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!"
Homer Simpson,Me?
Lisa Simpson,"Yes, you! Baboon, baboon, baboon, baboon!"
Homer Simpson,I don't think you realize what you're saying.
Lisa Simpson,Baboon!
Bart Simpson,"Whoa, somebody was bound to say it one day. I just can't believe it was her."
Homer Simpson,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!"
Marge Simpson,"Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy."
Homer Simpson,Go Away.
Homer Simpson,"Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?"
Lisa Simpson,No!
Homer Simpson,Nuts.
Homer Simpson,This isn't going well at all.
Lisa Simpson,"Look, if you just want me to forgive you --"
Homer Simpson,"No, no, no. I just wish I knew what to say."
Homer Simpson,"Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof."
Lisa Simpson,
Marge Simpson,That was our wedding.
Homer Simpson,Oh.
Marge Simpson,"Children, it's time for you to go to bed."
Homer Simpson,"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?"
Lisa Simpson,Yeah.
Homer Simpson,I can hold these nails in place with my tail.
Lisa Simpson,You're so silly.
Homer Simpson,Gimme a banana.
Lisa Simpson,I don't have any banana.
Homer Simpson,"Come on, you're holding out on me."
Lisa Simpson,"I'm sorry I called you a baboon, Dad."
Homer Simpson,Think nothing of it.
Homer Simpson,"Hey, what's the matter, son?"
Bart Simpson,"Ah, Dad, if just me, Milhouse and Lewis had voted..."
Homer Simpson,"Hey son, would you have gotten any money for being class president?"
Bart Simpson,No.
Homer Simpson,Would you have to do extra work?
Bart Simpson,Yeah.
Homer Simpson,"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?"
Bart Simpson,"Well, no."
Homer Simpson,"So, let the baby have his bottle, huh? That's my motto."
